       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       1628 15 Mar 2023 10:04:38     27.000     27.250     7.9561  30.578976     0.3533 5.3359e-02    285.973     93.249     27.000    29.0423    22.6050    1475.38 0.0000e+00
       1643 15 Mar 2023 10:04:41     26.000     26.240     7.9461  30.477276     0.3531 5.3395e-02    285.842     93.123     26.000    28.9443    22.5295    1475.20 0.0000e+00
       1657 15 Mar 2023 10:04:45     25.000     25.231     7.9382  30.413921     0.3514 5.3383e-02    285.805     93.051     25.000    28.8847    22.4839    1475.08 0.0000e+00
       1671 15 Mar 2023 10:04:49     24.000     24.222     7.9307  30.346415     0.3516 5.3357e-02    286.042     93.079     24.000    28.8205    22.4346    1474.96 0.0000e+00
       1685 15 Mar 2023 10:04:52     23.000     23.212     7.9088  30.164560     0.3584 5.3384e-02    286.419     93.065     23.000    28.6482    22.3024    1474.64 0.0000e+00
       1700 15 Mar 2023 10:04:56     22.000     22.203     7.8857  30.023930     0.3566 5.3375e-02    286.857     93.072     22.000    28.5200    22.2051    1474.38 0.0000e+00
       1714 15 Mar 2023 10:04:59     21.000     21.194     7.8666  29.926868     0.3607 5.3529e-02    287.763     93.272     21.000    28.4341    22.1403    1474.18 0.0000e+00
       1728 15 Mar 2023 10:05:03     20.000     20.185     7.8383  29.689893     0.3691 5.3596e-02    289.011     93.502     20.000    28.2089    21.9675    1473.78 0.0000e+00
       1743 15 Mar 2023 10:05:06     19.000     19.175     7.8138  29.432082     0.3715 5.8588e-02    290.384     93.721     19.000    27.9588    21.7746    1473.36 0.0000e+00
       1757 15 Mar 2023 10:05:10     18.000     18.166     7.7990  29.265892     0.3783 7.1411e-02    290.619     93.664     18.000    27.7968    21.6496    1473.08 0.0000e+00
       1771 15 Mar 2023 10:05:13     17.000     17.157     7.7849  29.086718     0.3860 9.2114e-02    290.678     93.554     17.000    27.6208    21.5134    1472.79 0.0000e+00
       1784 15 Mar 2023 10:05:17     16.000     16.148     7.7561  28.732438     0.4021 1.2812e-01    291.191     93.455     16.000    27.2729    21.2445    1472.24 0.0000e+00
       1798 15 Mar 2023 10:05:20     15.000     15.138     7.7343  28.462332     0.4150 1.7274e-01    290.453     93.008     15.000    27.0077    21.0394    1471.81 0.0000e+00
